,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
267,274,67646988,https://exofop.ipac.caltech.edu/tess/target.php?id=67646988,21,1871.0219999998808,1.881719,0.051666666666666666,102854.0,10.29,0.89,0.31,12.4368,2.47,1,"LP 261-75 b, Fla"
268,275,67666096,https://exofop.ipac.caltech.edu/tess/target.php?id=67666096,21,1872.8540000002831,2.70337,0.12333333333333334,10360.0,1.04,1.48,1.61,9.43351,4.96,1,LP 261-75 b
271,279,69068526,https://exofop.ipac.caltech.edu/tess/target.php?id=69068526,14,1689.030999999959,5.54132,0.13708333333333333,5370.0,0.54,2.75,2.06,10.4318,5.68,1,SSys
272,280,69679391,https://exofop.ipac.caltech.edu/tess/target.php?id=69679391,14,1684.3140000002459,3.4741699999999995,0.14666666666666667,14412.0,1.44,0.0,0.0,7.552160000000001,4.60,1,KELT-20 b
275,283,69997672,https://exofop.ipac.caltech.edu/tess/target.php?id=69997672,14,1684.2349999998696,1.80709,0.13749999999999998,450.0,0.05,0.43,2.2,9.11458,8.37,0,NT
278,286,70785910,https://exofop.ipac.caltech.edu/tess/target.php?id=70785910,2,1354.3650000002235,0.49486,0.042083333333333334,3750.0,0.38,0.82,1.51,12.2494,6.06,1,"UC,Vshape,P-short"
281,289,71431780,https://exofop.ipac.caltech.edu/tess/target.php?id=71431780,20,1852.7069999999367,13.716057000000001,0.18458333333333332,820.0,0.08,0.28,1.09,9.09942,7.72,1,
282,290,71512186,https://exofop.ipac.caltech.edu/tess/target.php?id=71512186,6,1471.0359999998473,14.821751,0.2529166666666667,486.0,0.05,0.32,1.6,8.7784,8.28,1,
283,291,71612483,https://exofop.ipac.caltech.edu/tess/target.php?id=71612483,23,1928.2689999998547,1.216809,0.08541666666666665,14814.0,1.48,1.77,1.02,11.4951,4.57,1,LCMOD
285,294,72985822,https://exofop.ipac.caltech.edu/tess/target.php?id=72985822,10,1572.2239999999292,3.8641089999999996,0.08416666666666667,8196.0,0.82,1.24,1.33,12.2397,5.22,1,UC
